state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Missouri,2019,6,465,45.75,767252.5
Missouri,2019,7,375,34.75,734772.5
Missouri,2019,8,398,43.25,714841.75
Missouri,2019,9,201,17.25,214813.5
Missouri,2019,10,211,32.75,403461.25
Missouri,2019,11,312,12.75,385010.75
Missouri,2019,12,168,12.25,453097.5
Montana,2019,0,131,42.75,248118.25
Montana,2019,1,8,3.25,7613.75
Montana,2019,2,14,10.25,23819.0
Montana,2019,3,4,2.0,5184.0
Montana,2019,4,9,2.0,2590.75
Montana,2019,5,12,3.0,7492.75
Montana,2019,6,25,6.75,22481.75
Montana,2019,7,18,16.0,77058.0
Montana,2019,8,5,4.25,7306.5
Montana,2019,9,9,11.0,22985.75
Montana,2019,10,4,2.0,1140.5
Montana,2019,11,10,42.75,54083.5
Montana,2019,12,13,10.0,16362.0
Nebraska,2019,0,299,22.5,557889.5
Nebraska,2019,1,28,11.75,36372.25
Nebraska,2019,2,15,9.0,20742.0
Nebraska,2019,3,37,13.0,42148.75
Nebraska,2019,4,14,4.0,17258.5
Nebraska,2019,5,31,11.0,169508.75
Nebraska,2019,6,22,6.0,26206.75
Nebraska,2019,7,33,22.5,75238.25
Nebraska,2019,8,31,7.5,43944.75
Nebraska,2019,9,23,17.75,52512.5
Nebraska,2019,10,22,6.25,25498.75
Nebraska,2019,11,27,5.0,29544.0
Nebraska,2019,12,16,6.25,18914.25
Nevada,2019,0,608,29.75,1435154.75
Nevada,2019,1,45,29.75,209293.25
Nevada,2019,2,70,16.25,266685.75
Nevada,2019,3,38,6.5,50141.5
Nevada,2019,4,53,7.25,75090.0
Nevada,2019,5,41,14.0,62158.5
Nevada,2019,6,56,9.75,95714.75
Nevada,2019,7,62,8.25,132630.0
Nevada,2019,8,44,18.75,65963.0
Nevada,2019,9,66,8.0,134104.75
Nevada,2019,10,38,11.75,70931.5
Nevada,2019,11,59,17.0,186393.75
Nevada,2019,12,36,7.25,86048.0
New Hampshire,2019,0,493,46.75,2155264.25
New Hampshire,2019,1,54,16.0,150019.5
New Hampshire,2019,2,81,19.0,220730.75
New Hampshire,2019,3,42,5.25,50492.25
New Hampshire,2019,4,35,17.25,96170.0
New Hampshire,2019,5,19,6.5,19268.75
New Hampshire,2019,6,15,6.25,26924.5
New Hampshire,2019,7,16,2.25,7265.5
New Hampshire,2019,8,15,11.75,16343.75
New Hampshire,2019,9,28,11.0,25771.75
New Hampshire,2019,10,74,46.75,827361.75
New Hampshire,2019,11,57,44.75,661416.75
New Hampshire,2019,12,57,6.5,53499.0
New Jersey,2019,0,4205,118.75,17721819.5
New Jersey,2019,1,282,15.25,319607.75
New Jersey,2019,2,302,68.0,910736.0
New Jersey,2019,3,253,23.25,374372.0
New Jersey,2019,4,330,34.5,664591.75
New Jersey,2019,5,371,24.25,626447.75
New Jersey,2019,6,383,34.5,817414.75
New Jersey,2019,7,581,78.0,8486667.25
New Jersey,2019,8,400,24.25,688146.0
New Jersey,2019,9,239,29.25,399186.5
New Jersey,2019,10,449,29.25,765192.25
New Jersey,2019,11,304,47.25,775440.5
New Jersey,2019,12,311,118.75,2894017.0
New Mexico,2019,0,678,49.0,1638577.5
New Mexico,2019,1,30,17.25,133132.75
New Mexico,2019,2,23,2.75,37184.25
New Mexico,2019,3,66,49.0,380394.5
New Mexico,2019,4,56,8.75,95224.75
New Mexico,2019,5,54,15.0,73938.25
New Mexico,2019,6,102,12.25,163162.5
New Mexico,2019,7,98,16.25,151556.25
New Mexico,2019,8,86,9.25,112463.75
New Mexico,2019,9,60,8.75,142931.0
New Mexico,2019,10,37,10.0,62193.5
New Mexico,2019,11,50,45.25,253347.5
New Mexico,2019,12,16,4.75,33048.5
New York,2019,0,5861,88.5,21579474.0
New York,2019,1,475,28.0,1304865.0
New York,2019,2,476,56.5,2743140.75
New York,2019,3,340,70.5,779041.5
New York,2019,4,473,41.0,782666.75
New York,2019,5,442,21.75,721422.75
New York,2019,6,576,57.5,1794310.0
New York,2019,7,621,50.5,2339129.25
New York,2019,8,602,61.0,2372697.0
New York,2019,9,400,23.25,514144.25
New York,2019,10,522,72.25,2720793.75
New York,2019,11,461,88.5,4426425.75
New York,2019,12,473,37.25,1080837.25
North Carolina,2019,0,5121,125.5,20189063.0
North Carolina,2019,1,383,66.5,3442125.0
North Carolina,2019,2,276,21.25,461542.0
