state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Louisiana,2018,6,516,25.0,816678.0
Louisiana,2018,7,591,32.25,1028164.75
Louisiana,2018,8,560,25.75,763834.5
Louisiana,2018,9,489,17.75,552352.25
Louisiana,2018,10,337,17.0,527506.75
Louisiana,2018,11,345,62.5,1128464.25
Louisiana,2018,12,243,28.0,356625.0
Maine,2018,0,1644,61.75,8164546.75
Maine,2018,1,210,22.75,711477.0
Maine,2018,2,69,11.0,189831.25
Maine,2018,3,142,55.25,1010227.5
Maine,2018,4,101,17.75,278168.5
Maine,2018,5,115,33.25,461724.0
Maine,2018,6,158,18.5,302612.75
Maine,2018,7,203,24.75,338969.25
Maine,2018,8,143,23.0,278423.75
Maine,2018,9,99,35.25,544281.25
Maine,2018,10,151,39.25,1271763.5
Maine,2018,11,218,61.75,2691872.5
Maine,2018,12,35,7.75,85195.5
Maryland,2018,0,5647,91.0,13002641.0
Maryland,2018,1,206,5.75,143138.75
Maryland,2018,2,143,24.0,155844.0
Maryland,2018,3,1476,91.0,9781682.0
Maryland,2018,4,265,10.0,162208.5
Maryland,2018,5,437,27.0,363042.5
Maryland,2018,6,463,12.25,434499.5
Maryland,2018,7,1036,31.25,574872.25
Maryland,2018,8,475,17.75,362975.5
Maryland,2018,9,506,18.0,323750.75
Maryland,2018,10,289,25.5,328973.5
Maryland,2018,11,237,24.0,277971.0
Maryland,2018,12,114,7.75,93682.75
Massachusetts,2018,0,2761,92.75,40339555.5
Massachusetts,2018,1,263,23.75,442460.75
Massachusetts,2018,2,146,12.75,138535.0
Massachusetts,2018,3,240,92.75,35602087.25
Massachusetts,2018,4,189,18.25,344391.5
Massachusetts,2018,5,191,16.5,261325.5
Massachusetts,2018,6,249,28.25,464155.25
Massachusetts,2018,7,307,17.25,456102.0
Massachusetts,2018,8,281,17.5,428338.5
Massachusetts,2018,9,243,34.25,1134867.0
Massachusetts,2018,10,239,23.0,466698.75
Massachusetts,2018,11,253,13.75,397678.0
Massachusetts,2018,12,160,15.0,202916.0
Michigan,2018,0,5612,130.75,44514645.0
Michigan,2018,1,331,13.25,367604.25
Michigan,2018,2,291,17.75,623151.25
Michigan,2018,3,287,38.5,1703308.5
Michigan,2018,4,584,43.25,13118884.0
Michigan,2018,5,710,58.25,11302208.75
Michigan,2018,6,547,78.25,1834998.5
Michigan,2018,7,590,49.25,2658203.0
Michigan,2018,8,632,130.75,6258905.5
Michigan,2018,9,546,54.5,2545230.0
Michigan,2018,10,546,92.0,2577476.25
Michigan,2018,11,313,37.0,1090966.0
Michigan,2018,12,235,41.5,433709.0
Minnesota,2018,0,1831,74.75,4139917.0
Minnesota,2018,1,89,8.25,82257.25
Minnesota,2018,2,55,9.75,43663.0
Minnesota,2018,3,191,11.75,232780.25
Minnesota,2018,4,114,20.25,212170.5
Minnesota,2018,5,207,42.75,483256.75
Minnesota,2018,6,284,43.0,840476.0
Minnesota,2018,7,235,25.0,537665.5
Minnesota,2018,8,179,22.25,413954.0
Minnesota,2018,9,146,74.75,829750.0
Minnesota,2018,10,162,20.0,273489.75
Minnesota,2018,11,78,12.25,77426.0
Minnesota,2018,12,91,13.75,113028.0
Mississippi,2018,0,2206,40.25,2864731.75
Mississippi,2018,1,137,14.75,145033.0
Mississippi,2018,2,100,13.5,73979.5
Mississippi,2018,3,168,20.5,186784.75
Mississippi,2018,4,179,32.75,466104.25
Mississippi,2018,5,219,20.0,240934.75
Mississippi,2018,6,241,20.5,331557.25
Mississippi,2018,7,320,19.5,382799.5
Mississippi,2018,8,216,17.75,204680.25
Mississippi,2018,9,211,9.0,210175.0
Mississippi,2018,10,116,6.25,83584.25
Mississippi,2018,11,164,40.25,375857.5
Mississippi,2018,12,135,19.75,163241.75
Missouri,2018,0,2628,29.0,3512927.833333333
Missouri,2018,1,158,9.0,213848.5
Missouri,2018,2,116,11.0,152837.25
Missouri,2018,3,100,22.5,131812.75
Missouri,2018,4,93,19.0,92292.25
Missouri,2018,5,376,13.75,323077.5
Missouri,2018,6,658,23.0,1247610.5833333333
Missouri,2018,7,429,29.0,507957.75
Missouri,2018,8,183,11.0,196925.25
Missouri,2018,9,167,8.75,130003.5
Missouri,2018,10,108,7.0,89755.0
Missouri,2018,11,166,14.75,234590.5
Missouri,2018,12,74,22.5,192217.0
Montana,2018,0,161,24.0,271218.25
Montana,2018,1,19,11.25,32039.75
Montana,2018,2,15,9.25,27509.75
Montana,2018,3,9,5.25,8331.25
Montana,2018,4,16,7.5,23933.0
Montana,2018,5,28,5.25,43760.0
Montana,2018,6,23,10.0,51115.5
Montana,2018,7,13,24.0,32395.0
Montana,2018,8,12,6.25,20864.25
Montana,2018,9,5,7.25,3597.75
Montana,2018,10,11,8.5,20011.25
Montana,2018,11,7,3.5,4912.5
Montana,2018,12,3,1.5,2748.25
Nebraska,2018,0,371,45.0,1420873.0
Nebraska,2018,1,45,24.0,146529.0
Nebraska,2018,2,19,25.25,69605.75
Nebraska,2018,3,19,4.5,26927.0
Nebraska,2018,4,51,45.0,136143.0
Nebraska,2018,5,28,4.5,25244.75
Nebraska,2018,6,61,17.5,168366.5
Nebraska,2018,7,33,11.5,59532.0
Nebraska,2018,8,23,16.75,125407.5
Nebraska,2018,9,37,5.0,40355.25
